,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,gt_ndvi,gt_msavi2,Labels_km,Label_T
42,42,0.6052168,0.3336429,0.017496245,2.5736358,2.3564906,-0.5894349,-0.43510067,0.84196544,2.956275,-0.42661628,0.638770135,0.777656208,1,5
43,43,2.0363517,-0.38110748,1.809999,3.4917796,2.622152,-0.62009376,-0.6845914,1.0017182,3.796264,-0.9235538,0.603650624,0.745523435,5,4
44,44,1.2113577,0.034543842,0.7547727,2.3094528,3.4531217,0.17372417,-0.34557498,0.62400746,4.0062623,-0.14016902,0.586841555,0.735265662,8,6
45,45,0.92494696,0.2626761,0.57662755,2.4620538,2.577873,-0.5264939,-0.2765354,1.1595312,3.027132,-0.4093812,0.634381624,0.774672103,1,5
46,46,1.0351704,0.16733582,0.74712175,2.19732,2.750189,-0.4488727,-0.79006386,1.0735263,2.617285,-0.2757306,0.680723121,0.808707343,4,8
47,47,0.6713198,0.36350456,0.17428109,2.6399746,2.4275928,-0.5732969,-0.28514877,1.1541468,2.9017437,-0.18302576,0.642638342,0.781107863,4,8
48,48,0.9650807,0.030436983,0.68305874,2.4723516,2.549982,-0.38091758,-0.29812923,1.1163256,2.9198518,-0.4452485,0.64672404,0.784010428,1,5
49,49,1.0167595,0.043790963,0.8902122,2.2654397,2.8379803,-0.21100819,-0.5370172,1.164742,2.6686144,-0.22177105,0.688124962,0.813775715,4,8
50,50,1.2291455,0.21500318,1.5156163,2.363729,3.0617054,-0.17899342,-0.47842562,1.2929729,2.911679,-0.9093728,0.696000087,0.819139186,1,5
51,51,1.0118159,-0.003416393,1.320144,2.3895044,2.9785194,-0.42535773,-0.28836116,1.0176401,2.838949,-0.7673057,0.704931683,0.8254786,1,5
52,52,1.0864971,-0.50228804,0.87450635,2.2316515,2.7610028,-0.24194255,-0.5799969,0.87218213,2.4619808,-0.24182047,0.69828538,0.820633539,4,8
53,53,0.7602256,0.23879594,0.70208263,2.2394462,2.6398165,-0.42120695,-0.42538455,0.97848666,2.773416,-0.11163153,0.67348977,0.803369594,1,5
54,54,0.7711832,0.35922056,0.6071342,2.4144359,2.4817784,-0.7787171,-0.44715172,0.9869047,3.0453548,-0.6299291,0.649030921,0.785658628,1,5
55,55,2.300713,-0.36985388,1.1618464,1.9524963,2.920292,-0.95006967,-0.8162838,1.1506246,4.4882894,0.40178698,0.480366283,0.642145131,0,1
56,56,1.9376049,-0.33701545,1.7653251,3.226545,2.8239589,-0.8046026,-0.45927644,1.1917242,3.9331875,-0.9064678,0.599944745,0.742811865,5,4
57,57,0.7220686,0.3654279,0.832098,2.2519927,3.102954,-0.23579112,-0.33296403,0.87651473,3.277716,-0.66442263,0.677372654,0.806231764,1,5
58,58,1.2451179,-0.5973456,1.175462,2.4820964,2.9576426,-0.40048635,-0.70657873,1.0552175,2.8722382,-0.47956607,0.694508699,0.817812352,1,5
59,59,0.9673559,-0.059263017,0.85008895,2.2390428,2.5864449,-0.45908415,-0.52996284,0.9896628,2.9836278,-0.39757767,0.655461352,0.790305661,1,5
60,60,1.1266159,0.007386862,0.6819179,2.2161746,2.9627216,-0.46713996,-0.56727684,1.1886963,2.8966467,0.099667385,0.660919144,0.794443516,1,5
61,61,1.2469919,-0.6284242,1.2791872,2.4770505,2.9580815,0.14880191,-0.3537757,0.83870196,2.8552208,-0.4628913,0.691113958,0.814421643,1,5
62,62,1.0708888,-0.45678064,1.1281927,2.5138052,2.9627194,-0.3679361,-0.14802845,1.0904546,2.7565055,-0.38844377,0.703761926,0.823827898,4,8
